UID,abn,file_extension,filesize,image_link,index:0,index:1,index:2,index:3,index:4,index:5,index:6,index:7,industry,legal_name,link,linkdown,number_of_emps,reporting_period,state,title,
11087777571:2012-2013,11087777571,DOCX, - 42.74 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Lucas Shared Services Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-09-17%2008-52-00%20627891%20Public%20Version%20-%20Lucas%20Shared%20Services%202012-2013%20revised%20report.docx,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-09-17%2008-52-00%20627891%20Public%20Version%20-%20Lucas%20Shared%20Services%202012-2013%20revised%20report.docx,512,2012-2013,Queensland,Lucas Shared Services Pty Limited,
11089642553:2011-2012,11089642553,DOC, - 267.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-23-00%20563211%20Public%20Version%20-%20QGC_EOWA%20Report_2011-2012_Public.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-23-00%20563211%20Public%20Version%20-%20QGC_EOWA%20Report_2011-2012_Public.doc,610,2011-2012,Queensland,QGC Pty Ltd,
11089642553:2012-2013,11089642553,DOC, - 80 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-09%2008-58-00%20611456%20Public%20Version%20-%202013_WGEA%20Report_QGC_FINAL.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-09%2008-58-00%20611456%20Public%20Version%20-%202013_WGEA%20Report_QGC_FINAL.doc,1055,2012-2013,Queensland,QGC Pty Ltd,
11089642553:2013-2014,11089642553,PDF, - 138.16 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_cttewnxkq6.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_cttewnxkq6.pdf,1887,2013-2014,QLD,QGC Pty Ltd,
11089642553:2014-2015,11089642553,PDF, - 147.71 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_xijt9858y5.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_xijt9858y5.pdf,1202,2014-2015,QLD,QGC Pty Ltd,
11089642553:2015-2016,11089642553,PDF, - 360.76 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_u2tyihmk19.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_u2tyihmk19.pdf,1037,2015-2016,QLD,QGC Pty Ltd,
11802390141:2013-2014,11802390141,PDF, - 117.16 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Trustee for Moultrie Group Trust,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_f7jclxpdmz.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_f7jclxpdmz.pdf,103,2013-2014,QLD,The Trustee for Moultrie Group Trust,
12060309104:2014-2015,12060309104,PDF, - 135 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,AJ Lucas Group Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_eqlx1ixzcl.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_eqlx1ixzcl.pdf,290,2014-2015,NSW,AJ Lucas Group Limited,
12060309104:2015-2016,12060309104,PDF, - 347.56 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,AJ Lucas Group Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_awdouksgnh.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_awdouksgnh.pdf,294,2015-2016,NSW,AJ Lucas Group Limited,
12115470552:2006-2007,12115470552,DOC, - 198.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,PTTEP Australasia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2008-02-19%2010-51-00%20439049%20Public%20Version%20-%20Affirmative%20Action%20-%20Report%202007.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2008-02-19%2010-51-00%20439049%20Public%20Version%20-%20Affirmative%20Action%20-%20Report%202007.doc,200,2006-2007,Western Australia,PTTEP Australasia Pty Ltd,
